requestId,owner,amountOfEEth_wei,amountOfEEth_ether,shareOfEEth_wei,isValid,owner_is_contract
12206,0xb2660189a2Bfe8A41780495978fa1Ac6A5601eA5,10052878618885386,0.010053,9717452222049330,True,False
12362,0x980C29c03db5841450139Fa7cfF6990b982f7e34,50302710878871381,0.050303,48622666596373144,True,False
12408,0xfD85199D30D41D4003708CBe95c9C49fB3a126c8,70375404514979812,0.070375,68024958705635686,True,False
12421,0x6F16B8A8af3033672a0fF9ac774E3515a5D258B0,18047240065089939,0.018047,17444486019503047,True,False
12423,0x239AF578255564851Fb733c692e327f8737238a0,18047240065089939,0.018047,17444486019503047,True,False
12425,0x256c0eFD13015574178B66d2D85253E74A6eA43B,18047240065089939,0.018047,17444486019503047,True,False
12426,0x28B14041c3f11e542452a8847214A79baddc7c60,18047240065089939,0.018047,17444486019503047,True,False
12427,0x43b8291065Cde47BFDcc155cABEc2f06C874285d,18047240065089939,0.018047,17444486019503047,True,False
12451,0x06fd947A101dF2A72444606Bfc7a84321e401562,200090691395747000,0.200091,193407925871041621,True,False
12455,0xe4f8576A38f8338d89524933cC14736831B6411a,440000000000000000,0.440000,425304579586590073,True,False
12581,0x4821C12264177202f6a5BF03605cEC7Fc7b934Ee,901477996774632797,0.901478,871338699923789947,True,False
12599,0xe15D5293C70f882397cDFF16B7e07C48B9D120e6,22355351966329525,0.022355,21607940946283607,True,False
12603,0x58340603E278a2e7A59840540AD935dc4aAC0fC3,262090503210535176,0.262091,253327978216789947,True,False
12646,0xD5BCFCCC1a866BC47801a757084BB24366Bf2Da7,118463630629717027,0.118464,114495571502751606,True,False
12745,0xb3bD6Ec3B1C747e151E85F3E322FAE593A83254E,81831534352921961,0.081832,79090504341967349,True,False
12799,0xAeFD21cc46A99a120C38F3e8c525f057fEf55912,50000000000000000,0.050000,48321380910358521,True,False
12820,0x9f6C76082421b0F3C041D7f382f13604f0ed9813,552218279618992089,0.552218,533674131236491408,True,False
12835,0xbbcE681a0d2900d3cA8f8cB7651018bBf3cf6560,101423017739210455,0.101423,98016187668813512,True,False
12845,0x49Df591f5053275FbFECDe7Ae886Fa45bF90a8C6,12002379387779139,0.012002,11599215806907001,True,False
12868,0x5096b2E04dc891F00375F10B88Da8701fb0dcAb6,29020183262101930,0.029020,28044650565656235,True,False
12877,0xE5a7795257eF12d20f6fB2ED498238E8fc29DC13,400000000000000000,0.400000,386548255128160158,True,False
12915,0x7518a0636F6E395911Ed9065018E6592687221f1,80006167186413622,0.080006,77313504595277737,True,False
13145,0x7909DA3eFFE2CEab9594e7995d5c78c35eb97781,10043263488933438,0.010043,9703723522109525,True,False
13294,0x7c5E9b594F253b3452c16c05B17631eEc3e34fD2,20107244811765340,0.020107,19426467973246152,True,False
13305,0x9D7c9aD5Bf81713C975279A94E67A4086F135cAE,50268112029413351,0.050268,48566169933115382,True,False
13307,0xa913F76cCa156D07BA9E86fC9F29B1021E54a622,100000000000000000,0.100000,96614270901397466,True,False
13338,0xD9EA6b4CA7ac9A8E8d626c21B5473a481550f4Bf,201614516543991401,0.201615,194781887865308420,True,False
13352,0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,102589927000219036,0.102590,99110652233782327,True,False
13365,0xbcff6e7d2EcB010C2bC9B4863C5Dd6119b624c18,10000000000000000,0.010000,9660856102721539,True,False
13393,0x5a0778F2a898e7143A2129CabF4029678e4d5396,10041846202742400,0.010042,9701283117035502,True,False
13399,0x01e7f16E17c50D070eb66787f25Ce3BE405d6038,100610329721447986,0.100610,97194882430179631,True,False
13453,0xbcff6e7d2EcB010C2bC9B4863C5Dd6119b624c18,1000000000000000,0.001000,966029608925463,True,False
13483,0x97eC0F62dD4171A473a4FC619951Ce7B4C1300ff,210484330206531164,0.210484,203321313524824384,True,False
13561,0x42d60392945aE0D3D328637e1b2e2c864aAd4b64,456306132283924464,0.456306,440757836689139397,True,False
13580,0x0fc357bed159ee3c7FD536fFBC154f96E5Bd5dB1,155000000000000000,0.155000,149712161451646484,True,False
13581,0x6449cc305b77DB2f0FA8839A044069b969501577,26505977353170942,0.026506,25601723618913634,True,False
13583,0x6449cc305b77DB2f0FA8839A044069b969501577,80304299178448042,0.080304,77564710992678292,True,False
13626,0xdeF980739aC7dBD8a2c87d7AE9656D06355204F9,120615903759475088,0.120616,116496749948465814,True,False
13627,0x6B8F43D45cc9a4a7d9F7d551586eee560ba93F6d,108069425720572860,0.108069,104378746689570600,True,False
13642,0x66C46C889E3403cF3DbEE19447488454A46410e2,34146067384480802,0.034146,32979945014098824,True,False
13648,0x481Bf4aFb6d50433420CC31D0Ea659102F446729,16022742925721228,0.016023,15475550221209226,True,False
13654,0x759351d439204EB96d44d6884031B9506dCbba55,156503580375416954,0.156504,151158826495982105,True,False
13718,0x8e09D833857dA26051398BD2C593a9d8b2712A39,101313808871588091,0.101314,97850137166210576,True,False
13744,0xb4b7601aE020b5c7bBE51925748B89c14F16EAfd,46032783806942332,0.046033,44457484843946513,True,False
13878,0x22474708732Ac8b2739Fd56aE421b700D43d1Ad2,10000766787699203,0.010001,9657787595553096,True,False
13895,0x674345E17D51eCf236de9f2aD30D26BCbc29922A,19854208667624383,0.019854,19173302833693957,True,False
13927,0xBa22048dD00619C96d49B6946D73dEA6Bec4b039,19012749649502481,0.019013,18360701896195881,True,False
13933,0x9Ed576203D7F9B90225EBDF64bef74Ed999F6558,62115804772601400,0.062116,59983304437534540,True,False
13985,0xB5Dd77f804E324b3B9eA24EF0f67C0A7b6498a9D,90102750192777773,0.090103,87006422269868154,True,True
13990,0x803Ae115aBa12D549982A2455591a1D1CE23dB55,10101254777392920,0.010101,9754018284799913,True,True
14015,0x65c36D3175cf6a713CB1Aca59C8161bd5Fc9371B,27047132215786477,0.027047,26117143097722196,True,False
14025,0x02C5E97b34A59279abF909b2f70b983d590F7115,11019299100868384,0.011019,10640317558331264,True,False
14035,0x43C008700DA8eF245D9685144feeaB420f2c045d,90519955977329134,0.090520,87406745941676607,True,False
14062,0x76B478786ce31652a8Ec36CA498763A88982042D,2653916472429852549,2.653916,2562641578330020591,True,False
14203,0x9CD123D83FA43A1107373ecA6E30f2024c4Dc859,130844634859257638,0.130845,126321787998158638,True,False
14228,0x5671b758959085F0f98fd89B66061F8E54396072,192476245014919394,0.192476,185813943135245064,True,False
14233,0x4B7D801E954C1A529A3813Cc21410d093A332AeC,25065415724441440,0.025065,24197810653058108,True,False
14234,0x5D5a267897794BC1276B91e97aCe4F7EF5C60f68,246495002585653025,0.246495,237962915319874169,True,False
14266,0xB33F43461c1D1D13A1f7896034e93D2a14b9AC89,217523161943432861,0.217523,209992084738623777,True,False
14331,0xACfE3e26cd4e1dA89E8b1f40CD9Eeab630422023,58301229408028508,0.058301,56281774529935127,True,False
14375,0x89d01452Ea101F55b2e830e1fb49Ea7aDf18d7e9,238460336667650499,0.238460,230187549992751281,True,True
14451,0x73B368c00BbbdaA25846d9C4530D32562ddB8792,33170145527625106,0.033170,32017610434301805,True,False
14470,0xF0C2ff1F81D6585b466B55DA60b04492CADF5853,50082876610873489,0.050083,48342689103389099,True,False
14532,0x4CA764D82Edc3c1FdD1da9Fd1efccA7394364dC1,18602969693142853,0.018603,17955959932387660,True,False
14533,0x2c22894F8F960e63730fbAd76edd6c35047036C0,946575558301234746,0.946576,913653737988914155,True,False
14586,0x3D4550c368E5dA569Fc5aFC56ef578Fee354f4eC,800000000000000000,0.800000,772162617546923268,True,False
14625,0x7cc49FfD0C49111aA60e216bB41214E9838124F6,283193336097552802,0.283193,273314071508455125,True,False
14716,0x2095C93822D25ceAD6744A583C5e226fC8b8d1B5,1040880636492533418,1.040881,1004519241304495313,True,False
14722,0xCA10A17d66B2D4847C0503973D567051877abF28,502826665191348406,0.502827,485261270617657442,True,False
14778,0xc48180e30D48C98aecf3B83Cc2D750160BE74f72,1023981973249983671,1.023982,988172249102456002,True,False
14798,0xB337f1861243265c5Baf0164D1a602B8F8aC2bE1,201582034250126508,0.201582,194525601073314924,True,False
14823,0xbC6433537D8125a72b849b1d777a7E0FfE3DdE02,10000000000000000,0.010000,9649947317822190,True,False
14834,0x0824776cFf9008661cA83BF8D9DAa36dB68B6ED0,1000992274994211583,1.000992,965952271924112464,True,False
14853,0x64FeD9e56B548343E7bb47c49ecd7FFa9f1A34FE,300000000000000000,0.300000,289488189603480583,True,True
14894,0xBdCA4487245985d697e850DFEdc2266F21Ba876b,33226025280099064,0.033226,32060679878365061,True,False
